Κωδικός,Πόλη,Κωδ. Χώρας/Περιοχής,Κωδ. Καταστήματος,Προκαθορισμένο,Πόλη ENU,Ανενεργό,Περιοχή,Ζώνη Τιμολόγησης,ΧΜ Ζώνη,Ζώνη
14564,HUB,GR,0106,FALSE,,FALSE,,ATH6,,In-city
14564,ΚΗΦΙΣΙΑ,GR,0968,TRUE,,FALSE,,ATH6,,In-city
14564,ΚΗΦΙΣΙΑ REC,GR,0101,FALSE,,FALSE,,ATH6,,In-city
14564,ΚΗΦΙΣΙΑ RECEPTION,GR,0116,FALSE,,FALSE,,ATH6,,In-city
14564,ΚΗΦΙΣΙΑ ΚΕΝΤΡΙΚΑ,GR,0106,FALSE,,FALSE,,ATH6,,In-city
14565,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14565,ΔΙΟΝΥΣΟΣ,GR,0968,FALSE,,FALSE,,ATH8,,In-city
14565,ΠΟΛΙΤΕΙΑ,GR,0968,FALSE,,FALSE,,ATH6,,In-city
14568,ΚΡΥΟΝΕΡΙ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14569,ΑΝΟΙΞΗ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14572,ΔΡΟΣΙΑ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14574,ΡΟΔΟΠΟΛΗ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14575,ΣΤΑΜΑΤΑ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14576,ΔΙΟΝΥΣΟΣ,GR,0968,TRUE,,FALSE,,ATH8,,In-city
14578,ΕΚΑΛΗ,GR,0968,FALSE,,FALSE,,ATH6,,In-city
14578,ΕΚΑΛΗ 0937 ATH6,GR,0968,TRUE,,FALSE,,ATH6,,In-city
14578,ΕΚΑΛΗ 0937 ATH8,GR,0968,FALSE,,FALSE,,ATH8,,In-city
14671,ΕΚΑΛΗ,GR,0968,TRUE,,FALSE,,ATH6,,In-city
14671,ΝΕΑ ΕΡΥΘΡΑΙΑ,GR,0968,FALSE,,FALSE,,ATH6,,In-city
15121,ΠΕΥΚΗ,GR,0966,TRUE,,FALSE,,ATH6,,In-city
15122,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15123,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15124,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15125,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15126,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15127,MELISIA REC,GR,0953,FALSE,,FALSE,,ATH4,,In-city
15127,ΜΕΛΙΣΣΙΑ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15180,ΜΑΡΟΥΣΙ,GR,0966,TRUE,,FALSE,,ATH3,,In-city
15231,ΧΑΛΑΝΔΡΙ,GR,0940,TRUE,,FALSE,,ATH3,,In-city
15232,ΧΑΛΑΝΔΡΙ,GR,0940,TRUE,,FALSE,,ATH3,,In-city
